username;shortcode;commentCount;commentCountWithAnswers;comment_id;text;created_at;ownerId;ownerUsername
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18036083662159650;"Wie wird man einer der ausgewählten Partner. Das wäre sooo geil für die Schule und so";1558892940;12595928061;"sonnyschallenge"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17866545454382756;"Mengenrabatte für AFD Wähler?";1558891669;662422163;"elainamarleen"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17876176258371369;"@chailatte_roche ❤️ next big thing ❤️";1558890334;5928243582;"philipeinhorn"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17992120873237818;"Alter Ihr seid einfach so geil.";1558899977;1648320764;"amourette57"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18050494609119714;"Soo geile Idee!!! Feier ich👏";1558898469;9991935160;"yola_lutaise"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17992001116238503;"Haha das war so witzig 🎥";1558912513;267730918;"chris_schmitz_3"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18037549492176472;"Was für eine coole Idee! Viel Erfolg bei der Umsetzung und liebe Grüße aus Freiburg! 😊";1558952872;1974112599;"jorindeundjoringelundsoweiter"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17860930642410226;"Richtig tolle Idee!";1558959898;5718091129;"laura.schll"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18060925492075777;"❤️";1558908541;8691177323;"fridaysforfuture.de"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17862545497401552;"Ouh, nicer Scheiß 😃🌍💩";1558974970;241546095;"christin.ha"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18072354883024300;"Ab in den DM mit der Produktidee!";1558962479;1974112599;"jorindeundjoringelundsoweiter"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18070359271018579;"Das ist leider die erste Aktion von FFF die ich überhaupt nicht gut finde, Schade... Ich fürchte damit wird die Bewegung nie ernst genommen und das war schließlich immer das Ziel! Die Stärke von FFF lag außerdem immer in der Masse und mittlerweile sind schon sehr viele ältere Menschen dabei #grandparentsforfuture #parentsforfuture Der Beitrag ist meiner Meinung nach aber sehr abwertend formuliert, besonders für 'die Alten'. Im ersten Moment ist die Aktion ja echt witzig, aber ich glaube nicht besonders gut durchdacht, da kann man es ja niemanden verübeln wenn er sagt FFF wäre eine "dumme Jugendbewegung", mit dieser Aktion wird sie das nämlich wirklich!";1558984591;4312916178;"janni.02"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17899635130321831;"👏";1558942695;13958537791;"schoolsforfuture.de"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17987734723244417;"@laura_natascha @gurkmichnich das sollten wir uns dann wohl kaufen, sobald es dad gibt! 😄";1559032810;190818545;"tina.apfelbacher"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18036276424153409;"💚💚💚❤️";1559056070;13299622642;"fabienne_mia_cisv_future"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17877940696367446;"Macht mit!";1559040435;14011108875;"haus_der_naturpflege"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;18069596323035323;"Voll die gute Idee ♥️😂";1558983877;10591478826;"mrs.a_2024"
"fridaysforfuture.berlin";"Bx7qJbGn99a";22;25;17846743357458147;"sehr geil 💥";1559302372;8476573631;"hatfieldserena"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18042217474094520;"!!!❤️";1558810795;366112946;"melinaspahn"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;17993727817228893;"Also das beste fehlt 😢";1558811494;8087302095;"it.s.sunshine"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18027700336168995;"🤔 years ago was a batter piace";1558811761;11336119099;"italianpigs"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18052485559119327;"Auf meinem Schild stand "Staying in silence is the same as dying"";1558812519;9012020963;"back.fee_"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;17863192468402011;"❤️🌎🌍🌏 #savetheplanet";1558812673;8908094494;"nedina345678"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18073002193002037;"@luisaxrosa";1558813130;4444851436;"youhavealreadychanged"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18059472811077217;"Das war gestern in Berlin der absolute Wahnsinn. Meine Tochter ist im April 16 Jahre alt geworden und darf somit morgen das erste Mal wählen. Wir haben es in der Hand und werden die EUWahl zur Klimawahl machen. Wir werden uns richtig entscheiden und somit, hoffen wir doch - einen politischen Umbruch im Sinne unseres Planeten und unserer Zukunft herbeiführen. Wahnsinn, allein in Deutschland über 320.000 Menschen, die auf die Straße gegangen sind und somit ihren Unmut und Protest zum Ausdruck gebracht haben. Danke dafür. 👍👍👍👍🌍🌍🌍🌍👏👏👏👏💚💚💚💚💚💚";1558819626;11079025982;"tamago._dani"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18068251525028337;"HAHAHAHAHAHAHA LEONARDO DI CAPRIO ONE";1558822140;13371368131;"patoteeeee"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;17847949534445456;"Super Sache, super Statements 📸💥👍";1558825334;3551181352;"deutscher_jugendfotopreis"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18005449870204207;"👏👏👏";1558826042;13066810189;"earthwoke"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;17958718195279468;"LUIIISAAAA @luisaxrosa";1558831302;1510811966;"sylvietullochgray"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;17902593643312099;"Ich erkenne die großartigen Plakate wieder😁👌";1558880147;3648377974;"timi3u"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18069403561002634;""Federt eure Verwandten", juhu  Das soll bestimmt "Fordert" heißen";1558897251;4923281725;"voegelchen.17"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18065497960070733;"👏";1558942663;13958537791;"schoolsforfuture.de"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;17949554302281260;"I was there 🙌";1558868481;9197209796;"andrea.licata75"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;18035017990155510;"<3";1559042496;14011108875;"haus_der_naturpflege"
"fridaysforfuture.berlin";"Bx5XU17HvEt";17;20;17987458084243833;"👍🏻";1558812582;12720021;"kayaige"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18024111226195378;"WHAT DO WE WANT?";1558706879;5990769918;"j.elly.bean_55_"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18069358930019583;"Die Zukunft kann nur geklaut werden weil Deutschland bis 2099 immer noch besetztes Land ist Ausrufezeichen Obama hat dies öffentlich 2008 ganz klar gesprochen Punkt um aus dieser Misere rauszukommen sind endlich Friedensverträge gültige internationale Friedensverträge notwendig. Diese fehlen seit dem ersten Weltkrieg! Das was hier in Deutschland erlebt wird ist ein Krieg gegen die Bevölkerung. Die Entnazifizierung wurde nie beendet über 80 nazigesetze Hitler Gesetze werden weiter gegen die eigene Bevölkerung angewendet! Militärisches Geoengineering in angewandter Form wirkt momentan brutal auf die Wettermaschine ein zuzüglich zum zivilen Luftverkehr Punkt die Grund und Bodenrechte müssen in Deutschland zurückgeholt werden ansonsten wird weiter vordiktiert durch die Verwaltung welche US-amerikanische gesteuert ist oder hat jemals irgendwo ein Politiker etwas von gültigen Friedensverträgen gesagt von herzintelligenz oder Bewusstsein? Nein die Kinder werden hier vor einen politischen Karren gespannt das ist hoch gefährlich weil sie in Unkenntnis sind";1558703232;5328694571;"philipp_goelitz"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;17847138607453011;"War dabeiii👍";1558714578;4309731336;"mati_leela"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18031573798161352;"💪💪💪 war super heute, wir machen weiter Lärm! 🌵🌴";1558706582;2977681422;"schlngl"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18068544472050832;"💪";1558717226;13718994710;"tierra.eco.studio"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;17854892338426662;"Wie viele waren wir denn heute in Berlin?";1558724852;1533855182;"aritionell"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18040710979136153;"Wie viele wahren wir?";1558705726;8087302095;"it.s.sunshine"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;17844549538459684;"heheh. meine Hand ^^";1558717703;3098776428;"maximilionelion"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;17889054046339390;"Toll, dass so viele da waren 💚🌎";1558726635;11866545113;"trynature_"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;17891842186327119;"Hi. Kann mir jemand sagen wie der Sänger aus Kapstadt (Cape town), der heute dabei war, heißt?";1558729162;2065096099;"spelunken.jenny"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18046877752124982;"Perfekt wir steigen bis 2024 aus der Kernkraft aus. Dann steigen wir noch bis 2030 aus der Kohlekraft aus und zünden dann abends Kerzen an, weil wir keinen Strom haben, wenn kein wind weht und keine Sonne scheint. Währenddessen werden in unserem Nachbarland Polen gerade neue Kohlekraftwerke gebaut, wo wir dann den Strom teuer einkaufen. China hat einen weltweiten CO2-ausstoss von über 10 Billionen Tonnen jährlich, etwa 15 mal soviel wie Deutschland, aber das interessiert unsere fridaysforfuture-Bewegung überhaupt nicht. Dass viele Produkte, die unsere Jugend und wir besitzen, in China produziert werden, interessiert auch niemanden. So retten wir dann die Welt oder beruhigen unserer schlechtes Gewissen, indem wir "Ablass" leisten.";1558730298;8376006380;"martin_kugler72"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18032050000167938;"Weiß jmd wieviele es gestern in Berlin waren?";1558797191;10332288073;"pingutumbles"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;17878157932364795;"Solange es bei fridaysforfuture-Streiks Bananen für die Streikenden gibt, anstatt dass heimisches Obst verteilt wird, wurde der Sinn der Aktion noch nicht richtig verstanden.";1558796740;8376006380;"martin_kugler72"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;18041945932087920;"Wie viele waren da?";1558714555;4309731336;"mati_leela"
"fridaysforfuture.berlin";"Bx2KH19Cqyh";15;75;17897044033326356;"🙌";1558942711;13958537791;"schoolsforfuture.de"
"fridaysforfuture.berlin";"Bx0SLP_DpAu";6;8;17855617822422665;"@lnnd_25 und ich sind dabei👍🏻☺";1558641699;7521367774;"creative_ravenclawgirl"
"fridaysforfuture.berlin";"Bx0SLP_DpAu";6;8;17958248392273156;"@nele_ltzk  @notorious.muhsin";1558640301;1509016691;"030.alicia"
